Compound,Che.type,Cell.type,Addition.Type,Time,Compartment_new,Compartment,% Recovery,Volume (uL),Used Volume (uL),Input Amount (pmol),Input.Amount.umol,Estimated amount (pmol),Estimated.Concentration.uM
PFOA,PFAS,OAT1,BtoA,4,Blood,Bottom,89.98002456,235,235,1175,0.001175,1057.265289,4.499001228
PFOA,PFAS,OAT1,BtoA,4,Blood,Bottom,101.1709361,235,235,1175,0.001175,1188.758499,5.058546806
PFOA,PFAS,OAT1,BtoA,4,Blood,Bottom,98.79467004,235,235,1175,0.001175,1160.837373,4.939733502
PFOA,PFAS,OAT1,BtoA,4,Blood,Bottom,105.8788423,235,235,1175,0.001175,1244.076397,5.293942114
PFOA,PFAS,OAT1,BtoA,4,Lumen,Top,0.996457257,75,75,1175,0.001175,11.70837276,0.156111637
PFOA,PFAS,OAT1,BtoA,4,Lumen,Top,1.186234132,75,75,1175,0.001175,13.93825105,0.185843347
PFOA,PFAS,OAT1,BtoA,4,Lumen,Top,1.072787604,75,75,1175,0.001175,12.60525435,0.168070058
PFOA,PFAS,OAT1,BtoA,4,Lumen,Top,0.920048019,75,75,1175,0.001175,10.81056422,0.144140856
PFOS,PFAS,OAT1,AtoB,4,Lumen,Top,44.05668925,75,75,375,0.000375,165.2125847,2.202834463
PFOS,PFAS,OAT1,AtoB,4,Lumen,Top,28.22117956,75,75,375,0.000375,105.8294233,1.411058978
PFOS,PFAS,OAT1,AtoB,4,Lumen,Top,63.68266773,75,75,375,0.000375,238.810004,3.184133387
PFOS,PFAS,OAT1,AtoB,4,Lumen,Top,55.21124125,75,75,375,0.000375,207.0421547,2.760562063
PFOS,PFAS,OAT1,AtoB,4,Blood,Bottom,93.18160165,235,235,375,0.000375,349.4310062,1.486940452
PFOS,PFAS,OAT1,AtoB,4,Blood,Bottom,34.54052954,235,235,375,0.000375,129.5269858,0.551178663
PFOS,PFAS,OAT1,AtoB,4,Blood,Bottom,55.39146419,235,235,375,0.000375,207.7179907,0.883906344
PFOS,PFAS,OAT1,AtoB,4,Blood,Bottom,25.71462682,235,235,375,0.000375,96.42985057,0.41033979
