"","Compound","Che.type","Cell.type","Addition.Type","Time","Compartment_new","Compartment","X..Recovery","Volume..uL.","Used.Volume..uL.","Input.Amount..pmol.","Input.Amount.umol","Estimated.amount..pmol.","Estimated.Concentration.uM","seach","Pred_conc","ratio","abs.dev"
"508","4_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",0.287477525,75,75,1175,0.001175,3.37786092,0.045038146,"BtoA_4_Lumen",0.1426535,0.500701927094508,0.500701927094508
"25","6_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",69.71210231,75,75,375,0.000375,261.4203837,3.485605116,"AtoB_24_Lumen",4.08348,0.068752248485209,0.068752248485209
"26","6_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",66.01628047,75,75,375,0.000375,247.5610517,3.300814023,"AtoB_24_Lumen",4.08348,0.0924093771832715,0.0924093771832715
"27","6_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",76.14991159,75,75,375,0.000375,285.5621685,3.80749558,"AtoB_24_Lumen",4.08348,0.0303910249997043,0.0303910249997043
"28","6_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",71.67152114,75,75,375,0.000375,268.7682043,3.583576057,"AtoB_24_Lumen",4.08348,0.0567138065791892,0.0567138065791892
"29","6_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",29.45305549,235,235,375,0.000375,110.4489581,0.469995566,"AtoB_24_Blood",0.2844705,-0.218056524660054,0.218056524660054
"30","6_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",25.74853912,235,235,375,0.000375,96.55702171,0.410880943,"AtoB_24_Blood",0.2844705,-0.159678762685851,0.159678762685851
"31","6_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",33.9264913,235,235,375,0.000375,127.2243424,0.54138018,"AtoB_24_Blood",0.2844705,-0.279465116043381,0.279465116043381
"32","6_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",26.65724618,235,235,375,0.000375,99.96467316,0.425381588,"AtoB_24_Blood",0.2844705,-0.174741452088641,0.174741452088641
"33","6_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.225955129,30,0.025307623,375,0.000375,0.847331735,33.48128456,"AtoB_24_Cell",25.3983,-0.119997463310279,0.119997463310279
"34","6_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.254359724,30,0.025307623,375,0.000375,0.953848965,37.69018357,"AtoB_24_Cell",25.3983,-0.171423603991912,0.171423603991912
"35","6_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.085240738,30,0.025307623,375,0.000375,0.319652766,12.63069088,"AtoB_24_Cell",25.3983,0.303377542226581,0.303377542226581
"36","6_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",0.099296809,30,0.025307623,375,0.000375,0.372363035,14.71347317,"AtoB_24_Cell",25.3983,0.237089447038707,0.237089447038707
"37","6_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",91.22764454,235,235,1175,0.001175,1071.924823,4.561382227,"BtoA_24_Blood",4.612965,0.00488369345256246,0.00488369345256246
"38","6_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",91.93492744,235,235,1175,0.001175,1080.235397,4.596746372,"BtoA_24_Blood",4.612965,0.0015296175181437,0.0015296175181437
"39","6_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",86.81404376,235,235,1175,0.001175,1020.065014,4.340702188,"BtoA_24_Blood",4.612965,0.0264201692191696,0.0264201692191696
"40","6_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",87.91748169,235,235,1175,0.001175,1033.03041,4.395874084,"BtoA_24_Blood",4.612965,0.0209349155525715,0.0209349155525715
"41","6_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",9.035354498,75,75,1175,0.001175,106.1654154,1.415538871,"BtoA_24_Lumen",1.155395,-0.088191315894667,0.088191315894667
"42","6_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",11.54274899,75,75,1175,0.001175,135.6273006,1.808364008,"BtoA_24_Lumen",1.155395,-0.194555370864191,0.194555370864191
"43","6_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",10.00307346,75,75,1175,0.001175,117.5361132,1.567148176,"BtoA_24_Lumen",1.155395,-0.132379577756785,0.132379577756785
"44","6_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",10.76251834,75,75,1175,0.001175,126.4595905,1.686127874,"BtoA_24_Lumen",1.155395,-0.16416002414255,0.16416002414255
"45","6_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.169270956,30,0.025307623,1175,0.001175,1.988933729,78.5903011,"BtoA_24_Cell",89.37275,0.0558361687115509,0.0558361687115509
"46","6_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.224912978,30,0.025307623,1175,0.001175,2.642727489,104.4241676,"BtoA_24_Cell",89.37275,-0.0675959006603879,0.0675959006603879
"47","6_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.19207841,30,0.025307623,1175,0.001175,2.256921321,89.17950536,"BtoA_24_Cell",89.37275,0.000940062206535076,0.000940062206535076
"48","6_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",0.175944934,30,0.025307623,1175,0.001175,2.06735298,81.68894258,"BtoA_24_Cell",89.37275,0.0390418469993831,0.0390418469993831
"509","6_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",111.1313178,75,75,375,0.000375,416.7424418,5.55656589,"AtoB_4_Lumen",4.812905,-0.0623991791996643,0.0623991791996643
"510","6_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",82.80098001,75,75,375,0.000375,310.503675,4.140049,"AtoB_4_Lumen",4.812905,0.0654018081066288,0.0654018081066288
"511","6_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",102.2613547,75,75,375,0.000375,383.4800803,5.113067737,"AtoB_4_Lumen",4.812905,-0.026274256822185,0.026274256822185
"512","6_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",98.26611679,75,75,375,0.000375,368.497938,4.913305839,"AtoB_4_Lumen",4.812905,-0.00896650914725712,0.00896650914725712
"513","6_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",1.49956725,235,235,375,0.000375,5.623377189,0.023929265,"AtoB_4_Blood",0.05283355,0.34398043361469,0.34398043361469
"514","6_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",1.690641033,235,235,375,0.000375,6.339903874,0.026978314,"AtoB_4_Blood",0.05283355,0.291894987741859,0.291894987741859
"515","6_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",1.463092782,235,235,375,0.000375,5.486597934,0.023347225,"AtoB_4_Blood",0.05283355,0.354674524169669,0.354674524169669
"516","6_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",0.886929585,235,235,375,0.000375,3.325985944,0.014153132,"AtoB_4_Blood",0.05283355,0.572057235687949,0.572057235687949
"517","6_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",73.86506596,235,235,1175,0.001175,867.9145251,3.693253298,"BtoA_4_Blood",4.91624,0.12422398171595,0.12422398171595
"518","6_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",104.5592092,235,235,1175,0.001175,1228.570708,5.227960461,"BtoA_4_Blood",4.91624,-0.0266992183259266,0.0266992183259266
"519","6_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",100.185732,235,235,1175,0.001175,1177.182351,5.009286601,"BtoA_4_Blood",4.91624,-0.00814280406556095,0.00814280406556095
"520","6_2_FTS","PFAS","OAT1","BtoA",4,"Blood","Blood",117.6927256,235,235,1175,0.001175,1382.889526,5.88463628,"BtoA_4_Blood",4.91624,-0.0780865489272312,0.0780865489272312
"521","6_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",0.750649244,75,75,1175,0.001175,8.820128616,0.117601715,"BtoA_4_Lumen",0.214149,0.260302395580743,0.260302395580743
"522","6_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",1.185313615,75,75,1175,0.001175,13.92743498,0.185699133,"BtoA_4_Lumen",0.214149,0.0619061746438867,0.0619061746438867
"523","6_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",1.04852388,75,75,1175,0.001175,12.32015559,0.164268741,"BtoA_4_Lumen",0.214149,0.115161122132171,0.115161122132171
"524","6_2_FTS","PFAS","OAT1","BtoA",4,"Lumen","Lumen",0.712780447,75,75,1175,0.001175,8.375170258,0.111668937,"BtoA_4_Lumen",0.214149,0.282783668718255,0.282783668718255
"49","8_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",1.149859187,75,75,375,0.000375,4.311971952,0.057492959,"AtoB_24_Lumen",0.251347,0.640659044860592,0.640659044860592
"50","8_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",1.350937542,75,75,375,0.000375,5.066015781,0.067546877,"AtoB_24_Lumen",0.251347,0.570668431581688,0.570668431581688
"51","8_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",1.584826384,75,75,375,0.000375,5.943098939,0.079241319,"AtoB_24_Lumen",0.251347,0.501322010077379,0.501322010077379
"52","8_2_FTS","PFAS","OAT1","AtoB",24,"Lumen","Lumen",1.470880051,75,75,375,0.000375,5.515800192,0.073544003,"AtoB_24_Lumen",0.251347,0.533726441166156,0.533726441166156
"53","8_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",26.34796739,235,235,375,0.000375,98.80487771,0.420446288,"AtoB_24_Blood",0.3829975,-0.0405145834321579,0.0405145834321579
"54","8_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",10.91261217,235,235,375,0.000375,40.92229564,0.174137428,"AtoB_24_Blood",0.3829975,0.342303813473159,0.342303813473159
"55","8_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",19.8640881,235,235,375,0.000375,74.49033037,0.316980129,"AtoB_24_Blood",0.3829975,0.0821639013254708,0.0821639013254708
"56","8_2_FTS","PFAS","OAT1","AtoB",24,"Blood","Blood",21.86157502,235,235,375,0.000375,81.98090632,0.348854921,"AtoB_24_Blood",0.3829975,0.0405510855573208,0.0405510855573208
"57","8_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",54.54004984,30,0.025307623,375,0.000375,204.5251869,8081.564402,"AtoB_24_Cell",10304.3,0.105523056100366,0.105523056100366
"58","8_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",68.92484429,30,0.025307623,375,0.000375,258.4681661,10213.05572,"AtoB_24_Cell",10304.3,0.00386279295360015,0.00386279295360015
"59","8_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",91.18046896,30,0.025307623,375,0.000375,341.9267586,13510.82066,"AtoB_24_Cell",10304.3,-0.117663235004941,0.117663235004941
"60","8_2_FTS","PFAS","OAT1","AtoB",24,"Cell","Cell",100.8118911,30,0.025307623,375,0.000375,378.0445915,14937.97297,"AtoB_24_Cell",10304.3,-0.161273174980126,0.161273174980126
"61","8_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",5.864617058,235,235,1175,0.001175,68.90925043,0.293230853,"BtoA_24_Blood",1.21208,0.616321621459366,0.616321621459366
"62","8_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",6.418713866,235,235,1175,0.001175,75.41988793,0.320935693,"BtoA_24_Blood",1.21208,0.577113265159029,0.577113265159029
